hour,day,month,year,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
1,28,7,2023,19.9,75,4,6.1,0.0
2,28,7,2023,19.6,79,6,5.8,0.0
3,28,7,2023,18.9,76,4,5.2,0.0
4,28,7,2023,18.5,78,22,5.4,0.0
5,28,7,2023,18.3,76,19,8.8,0.0
6,28,7,2023,17.8,74,14,9.3,0.0
7,28,7,2023,18.8,71,8,10.8,43.1
8,28,7,2023,21.0,67,6,10.1,163.3
9,28,7,2023,22.9,59,29,12.2,326.0
10,28,7,2023,24.3,52,12,11.1,430.0
11,28,7,2023,25.6,44,17,10.4,616.2
12,28,7,2023,26.7,38,23,9.9,670.0
13,28,7,2023,27.3,36,4,10.4,677.2
14,28,7,2023,27.6,33,1,11.0,723.6
15,28,7,2023,26.4,47,1,5.4,697.9
16,28,7,2023,27.5,38,1,6.9,266.7
17,28,7,2023,26.8,43,0,20.9,390.9
18,28,7,2023,26.0,41,0,20.4,295.9
19,28,7,2023,25.0,41,0,20.4,139.7
20,28,7,2023,23.4,50,0,20.1,21.1
21,28,7,2023,22.3,55,0,19.0,0.0
22,28,7,2023,21.5,60,0,16.3,0.0
23,28,7,2023,20.9,62,0,13.9,0.0
0,29,7,2023,20.4,64,0,11.9,0.0
1,29,7,2023,19.9,65,0,10.9,0.0
2,29,7,2023,19.4,67,0,10.0,0.0
3,29,7,2023,18.2,73,0,10.0,0.0
4,29,7,2023,17.7,75,0,11.6,0.0
5,29,7,2023,18.1,78,0,11.8,0.0
6,29,7,2023,18.4,82,0,10.7,0.0
7,29,7,2023,19.7,79,1,11.5,45.9
8,29,7,2023,21.7,72,1,10.8,174.5
9,29,7,2023,23.7,61,3,15.0,346.6
10,29,7,2023,25.4,52,7,16.3,495.2
11,29,7,2023,26.8,45,4,17.9,622.8
12,29,7,2023,27.9,39,0,20.1,726.4
13,29,7,2023,28.5,36,0,21.7,791.8
14,29,7,2023,28.6,33,0,23.1,783.8
15,29,7,2023,28.9,37,0,25.4,722.8
16,29,7,2023,27.9,37,0,24.4,607.5
17,29,7,2023,27.3,38,0,24.3,462.8
18,29,7,2023,25.9,46,0,24.1,296.4
19,29,7,2023,24.6,53,0,23.5,135.6
20,29,7,2023,23.5,60,0,22.1,19.3
21,29,7,2023,22.7,63,0,18.4,0.0
22,29,7,2023,22.2,65,0,16.3,0.0
23,29,7,2023,21.7,66,0,14.5,0.0
0,30,7,2023,21.3,69,0,13.7,0.0
1,30,7,2023,20.7,73,0,13.0,0.0
2,30,7,2023,20.2,76,0,11.7,0.0
3,30,7,2023,20.5,80,4,10.9,0.0
4,30,7,2023,20.2,84,10,8.8,0.0
5,30,7,2023,20.2,85,14,9.1,0.0
6,30,7,2023,20.0,86,22,8.2,0.0
7,30,7,2023,20.9,81,1,9.2,38.2
8,30,7,2023,22.8,71,2,11.4,166.8
9,30,7,2023,24.6,60,7,15.3,335.0
10,30,7,2023,26.1,53,1,17.1,496.5
11,30,7,2023,27.4,47,1,19.4,646.6
12,30,7,2023,28.1,45,0,22.3,741.1
13,30,7,2023,28.4,41,0,24.4,787.7
14,30,7,2023,28.3,41,0,24.7,778.8
15,30,7,2023,28.8,42,0,23.4,717.9
16,30,7,2023,27.9,44,0,25.1,608.3
17,30,7,2023,27.1,45,0,23.7,463.4
18,30,7,2023,26.0,51,0,23.0,298.5
19,30,7,2023,24.8,57,0,23.4,137.3
20,30,7,2023,23.3,64,0,22.7,19.1
21,30,7,2023,22.5,68,0,18.9,0.0
22,30,7,2023,22.0,69,0,17.3,0.0
23,30,7,2023,21.6,72,6,16.6,0.0
0,31,7,2023,21.3,75,15,16.1,0.0
1,31,7,2023,21.0,77,5,14.8,0.0
2,31,7,2023,20.7,80,4,12.8,0.0
3,31,7,2023,20.0,85,0,11.7,0.0
4,31,7,2023,19.7,87,1,10.7,0.0
5,31,7,2023,19.6,89,1,9.9,0.0
6,31,7,2023,19.5,89,4,7.9,0.0
7,31,7,2023,21.0,81,35,9.7,38.9
8,31,7,2023,23.5,68,18,14.1,151.1
9,31,7,2023,25.3,59,9,16.8,297.1
10,31,7,2023,26.7,55,2,18.1,486.7
11,31,7,2023,27.8,51,8,21.3,635.0
12,31,7,2023,28.1,49,32,25.4,678.6
13,31,7,2023,28.1,48,49,26.3,689.4
14,31,7,2023,28.1,49,11,28.2,640.6
15,31,7,2023,28.4,43,0,21.7,630.4
16,31,7,2023,27.8,45,2,22.0,599.7
17,31,7,2023,27.3,47,3,23.4,443.6
18,31,7,2023,26.4,51,2,23.2,286.5
19,31,7,2023,25.4,57,2,22.7,131.8
20,31,7,2023,24.2,63,0,20.5,16.9
